ID	Pontos	Lat	Long
0	Escola5	-10.1942511	-48.3105739
1	Ponto5	-10.1939999	-48.3104312
2	Ponto2	-10.181644	-48.3135165
3	Ponto4	-10.1780585	-48.3106856
4	Ponto16	-10.1746749	-48.3076261
5	Ponto8	-10.2000595	-48.2442611
6	Ponto18	-10.1934654	-48.2541061
7	Ponto7	-10.1796546	-48.2618393
8	Ponto6	-10.163941	-48.2532563
9	Ponto19	-10.177837	-48.2921908
10	Ponto3	-10.1657869	-48.3090475
11	Ponto14	-10.1625552	-48.3182691
12	Ponto15	-10.1527126	-48.325393
13	Ponto12	-10.1560076	-48.3264659
14	Ponto13	-10.1614991	-48.3296845
15	Ponto11	-10.1679464	-48.3353843
16	Ponto10	-10.1736489	-48.3282175
17	Ponto9	-10.1788875	-48.324953
18	Ponto1	-10.1835659	-48.3214233
19	Ponto17	-10.1847134	-48.3090629
