Escola8,-10.2245109, -48.3208702
Escola7,  -10.2185887, -48.342194
 
Escola7
Lat	Long
-10.2406319	-48.2442196
-10.2421262	-48.220755
-10.2384098	-48.2241882
-10.2390222	-48.2819856
-10.2299949	-48.3101422
-10.2511083	-48.2575153
-10.2477339	-48.2498216
-10.2241221	-48.3281954
-10.2210813	-48.3372934
-10.2301193	-48.3151491
-10.2383124	-48.3009012
-10.2459422	-48.2708784
-10.2542846	-48.2831274
-10.2743854	-48.275231
-10.2632372	-48.2748018


Escola8
-10.2406319	-48.2442196
-10.2421262	-48.2207550
-10.2384098	-48.2241882
-10.2390222	-48.2819856
-10.2299949	-48.3101422
-10.2511083	-48.2575153
-10.2477339	-48.2498216
-10.2301193	-48.3151491
-10.2383124	-48.3009012
-10.2459422	-48.2708784
-10.2542846	-48.2831274
-10.2743854	-48.2752310
-10.2632372	-48.2748018
