ID	Pontos	Lat	Long
0	Escola6	-10.1652536	-48.3082375
1	Ponto7	-10.2000595	-48.2442611
2	Ponto17	-10.1934654	-48.2541061
3	Ponto6	-10.1796546	-48.2618393
4	Ponto5	-10.163941	-48.2532563
5	Ponto18	-10.177837	-48.2921908
6	Ponto3	-10.1657869	-48.3090475
7	Ponto13	-10.1625552	-48.3182691
8	Ponto14	-10.1527126	-48.325393
9	Ponto11	-10.1560076	-48.3264659
10	Ponto12	-10.1614991	-48.3296845
11	Ponto10	-10.1679464	-48.3353843
12	Ponto9	-10.1736489	-48.3282175
13	Ponto8	-10.1788875	-48.324953
14	Ponto1	-10.1835659	-48.3214233
15	Ponto16	-10.1847134	-48.3090629
16	Ponto2	-10.181644	-48.3135165
17	Ponto4	-10.1780585	-48.3106856
18	Ponto15	-10.1746749	-48.3076261
